Gene_ID blastula_rep1	blastula_rep2	gastrula_rep1	gastrula_rep2	elongation_rep1	elongation_rep2	early_larva_rep1	early early_larva_rep2	mitraria_larva_rep1	mitraria_larva_rep2	competent_larva_rep1	competent_larva_rep2	juvenile_rep1
OFUSG00039.2	15.1434	37.6885	31.9779	57.235	37.789	46.3586	38.9512	59.6672	54.8564	61.8873	20.877	35.8329	10.2853
OFUSG00040.1	67.9462	90.6246	39.4479	89.9455	93.6312	105.604	52.563	94.9628	91.5377	83.2143	17.9879	59.8675	15.1359
OFUSG00041.1	0	0.126556	0	0.613233	0.11387	0	0	0.108533	0	0.256749	0	0.0388124	2.12242
OFUSG00042.1	0.118584	0.354478	1.03244	0.937656	1.11101	1.59358	0.894591	0.646249	1.17959	1.86308	2.01824	1.90242	5.07605
OFUSG00043.1	0	0	0	0	0	0	0	0	0.244624	0	0.380093	0.535343	0.419955
OFUSG00043.2	0	0.383904	0.353124	0.480901	0.937214	2.82564	0.480297	3.25024	6.21028	4.4353	15.4669	15.1746	0
OFUSG00043.3	0	0	0	0	0.482022	0	0.693981	1.26944	3.72453	3.46434	2.90805	2.68883	4.29664
OFUSG00043.4	1.39073	3.40166	1.45274	1.89047	4.64644	1.90457	6.03904	6.98739	16.3753	21.0887	22.7179	21.229	22.5894
OFUSG00044.1	14.4803	9.01541	3.31241	8.85112	2.76123	4.38153	3.73586	3.00273	10.7922	5.63588	3.66629	3.30832	1.73577
OFUSG00045.1	45.4729	36.0558	30.215	65.8349	33.7019	43.0882	18.6299	30.1713	22.5923	22.7479	27.1586	29.8351	27.6689
OFUSG00046.1	194.797	192.605	85.7946	133.71	106.5	125.146	163.09	171.225	168.629	191.783	64.2245	125.469	67.1094
OFUSG00047.1	0.0404959	0.196239	0.120848	1.79656	0.222594	1.62888	0.746001	0.578784	0.530951	0.151734	0.377057	0.184923	2.28717
OFUSG00048.1	0.024287	0.157097	1.647	2.13054	10.9198	11.8513	15.1348	16.5647	20.627	21.7652	80.6942	44.2464	1.85392
OFUSG00049.1	153.202	196.184	46.0796	88.7345	34.1489	55.4924	15.3611	32.8177	11.4607	17.3707	5.56819	12.7514	10.3107
OFUSG00050.1	0	10.9479	1.78487	5.46414	2.09888	6.57577	0.724088	4.69097	0.415137	7.84463	0.415011	2.78479	0
OFUSG00050.2	44.6464	43.1586	34.9199	33.0211	35.2262	30.8778	36.5005	23.8989	25.6302	20.0761	15.7962	15.403	15.5562
OFUSG00051.1	7.37399	3.86133	5.07821	12.0045	16.46	15.6163	12.9774	17.797	13.5781	11.5832	6.43524	9.99798	4.07215
OFUSG00052.1	1.38001	0.421374	2.77316	0.170131	1.12613	0.0937113	1.31267	0	1.47373	0.0172346	1.113	0.143253	0.944118
OFUSG00053.1	45.5784	60.9472	24.2451	29.0382	25.9231	23.838	31.6808	25.8881	32.9335	21.3106	17.259	18.5732	9.74689
OFUSG00054.1	40.198	56.7086	13.1453	25.5162	20.0707	25.7657	17.6863	20.147	18.6662	16.9591	5.83901	9.78148	4.62942
OFUSG00055.1	12.743	10.7402	13.9904	9.22467	16.409	10.3799	16.3547	12.9192	15.6125	12.3866	11.7326	11.8406	14.1813
OFUSG00056.1	67.7721	154.793	94.2782	158.009	133.232	157.719	148.563	115.668	107.007	122.641	78.9839	99.9683	63.3418
OFUSG00057.1	0.247079	0.0306106	0.328633	0.280621	0.0950395	0.174	0.236784	0.13592	0.198242	0.356171	2.87625	2.0853	5.29978
OFUSG00057.2	0	0	0	0	0	0	0	0	0	0	0	0	0
OFUSG00058.1	0.288011	0	0.461754	0.772783	0	0.148622	0	0	0	0.322589	2.76456	3.09183	7.10887
OFUSG00059.1	3.04607	1.4688	1.41671	1.39854	0.611619	0.774424	0.393573	0.570796	0.282566	0.442851	0.139892	0.244484	0.298367
OFUSG00060.1	30.4865	24.8358	5.56191	10.1684	12.712	10.9154	7.96076	11.1741	4.92473	7.28378	3.02634	4.63894	3.92198
OFUSG00061.1	248.266	276.749	94.9183	120.584	88.03	87.36	80.1559	74.7046	74.587	73.2595	34.5321	43.892	30.6003
OFUSG00062.1	8.3101	7.18349	4.73304	5.5091	9.75208	8.61625	13.7136	15.0587	19.9021	19.8039	16.5519	16.403	15.0116
OFUSG00063.1	12.2128	14.562	29.867	23.1518	44.4364	34.4667	58.7165	49.4298	80.6868	76.7585	69.963	92.7887	24.1571
OFUSG00064.1	0.278386	0	0	0	0.115027	0	0	0.0902017	0.379631	0.13093	0.0113656	0.108653	0
OFUSG00064.2	3.86361	4.89813	5.24402	11.0117	12.0311	12.2763	10.4816	20.5379	32.7604	39.6271	36.2405	56.5145	17.2737
OFUSG00064.3	0	0	0	0	0	0	0	0	0	0	0	0	0
OFUSG00064.4	6.82208	9.17646	9.31347	12.0234	15.8703	10.1418	14.0345	17.0588	18.8394	20.8839	26.5315	41.1518	3.99718
OFUSG00065.1	24.6062	34.2189	61.7373	39.2934	63.1721	67.6966	92.8237	83.6686	149.778	119.62	132.987	176.874	45.967
OFUSG00066.1	0.177344	0.136601	0.480363	1.17835	1.16432	1.75521	1.89845	1.56854	1.54538	1.17694	0.97409	0.790481	0.782765
OFUSG00067.1	63.791	40.0502	29.3717	36.1683	24.1613	24.6233	20.2754	29.3641	26.887	27.3598	9.16188	16.4879	8.39018
OFUSG00068.1	1189.15	1407	1591.82	1731.87	1390.42	1762.99	1027.91	1115.02	455.491	623.756	161.439	332.02	157.82
OFUSG00069.1	21.298	24.6783	17.0531	16.6545	12.8075	18.1831	17.5575	15.0165	19.9598	17.9822	10.6159	12.1765	11.6653
OFUSG00069.2	0	0.185286	0	0.425575	0.373659	1.00482	0.800876	0.166295	0	0.279248	0.0844311	0.637988	0.76813
OFUSG00070.1	0.456278	0.205728	10.9779	12.5635	5.65554	5.27524	4.89409	3.25674	2.17383	2.93349	5.24324	1.83392	6.0503
OFUSG00071.1	1.43578	1.04945	2.70154	3.78679	7.69633	8.44172	10.9793	11.68	5.89908	6.7394	5.13894	5.04546	6.74587
OFUSG00072.1	0.130876	0.0713488	3.55054	3.68773	57.4421	46.7857	155.159	166.28	233.478	211.134	26.0216	93.3532	5.84001
OFUSG00073.1	0	0	0.141876	0.572041	0	0.274763	0	0.252104	0	0.497394	0.178543	0.359282	0.270428
OFUSG00074.1	0.0894214	0	0.0785573	0.062875	0.0397456	0.040429	0	0.00947365	0.0310972	0.0893719	0.150124	0.367924	0.207127
OFUSG00075.1	0.891354	0.143197	0.291312	0.252091	0.130952	0.321961	0.280682	0.0998781	0.248258	0.0982145	0.170766	0.0644207	0.0840763
OFUSG00076.1	2.30347	4.2011	4.2331	7.66611	5.48231	5.76598	4.53475	4.658	3.08553	2.98287	2.38002	2.71089	2.18289
OFUSG00077.1	23.7724	21.311	20.6371	16.3131	16.2402	18.1833	16.9643	14.7956	13.139	13.5785	8.9457	10.3583	9.26098
OFUSG00078.1	0.262431	0.271241	0.498157	1.12938	0.69284	1.14266	0.847076	1.58137	2.15809	2.84838	15.46	14.7375	3.77814
OFUSG00079.1	151.924	155.788	246.224	210.851	317.827	296.997	454.284	444.555	561.655	544.243	271.326	503.383	122.851
OFUSG00080.1	0.0973799	0.035072	0.065078	0.0686963	0.226904	0.231664	0.309216	0.185419	0.0342658	0.218854	0.172114	0.303575	0.807005
OFUSG00081.1	0.859276	1.63434	1.79651	3.77605	1.70339	4.95811	2.01051	5.14971	7.76766	8.42862	11.6172	7.7557	9.94897
OFUSG00081.2	0.235779	2.79836	4.06619	3.51375	10.6889	7.614	15.9961	14.4563	21.171	22.4712	41.6052	58.7533	2.48895
OFUSG00082.1	0.173187	1.53302	1.05212	1.74778	1.28859	1.41073	2.40099	1.26522	1.75508	1.65838	1.99813	2.11145	0.467998
OFUSG00083.1	0.2367	0.0195963	0.144709	0.173041	6.15132	3.29965	8.32866	8.71031	8.87114	6.76804	13.5115	13.3105	2.12409
OFUSG00084.1	128.567	121.349	144.161	106.024	72.9831	82.377	60.3743	45.5977	36.0628	38.3823	60.656	44.0214	52.3331
OFUSG00085.1	25.2429	25.7382	13.1324	22.1949	14.7788	15.618	7.83277	10.8728	11.6284	10.4567	9.12142	11.4924	10.0675
OFUSG00086.1	0.193373	0.080771	0.233702	0.521265	3.62042	3.65038	7.57292	9.8228	10.8089	12.5298	34.5973	17.1944	62.7293
OFUSG00087.1	0	0.156197	41.0967	46.004	95.2094	101.474	60.9402	83.0989	89.1151	125.543	13.011	108.987	4.46821
OFUSG00088.1	0.663522	0.280255	2.39479	3.50874	14.5806	17.6709	33.3369	36.5377	28.481	23.0403	22.4062	19.7254	35.2726
OFUSG00089.1	1.61151	1.79306	1.88205	1.10125	0.727972	0.907716	0	0.277317	0	0.328321	2.97575	1.42505	8.50859
OFUSG00090.1	0.81509	0.376168	4.35791	11.173	4.95415	7.05405	0.506661	1.69422	0.778481	0.425497	36.0115	33.2588	69.6915
OFUSG00090.2	2.46872	2.33464	23.5252	35.0979	19.6229	25.9449	3.84504	4.95665	2.18257	3.80333	14.6706	16.3486	21.1341
OFUSG00091.1	0.544343	0.0658554	0.308632	0.514111	0.120578	0.309196	0	0.114946	0.129603	0	2.2321	1.18201	6.64001
OFUSG00092.1	1.6862	2.32771	2.42367	8.14311	5.54019	10.2735	5.57929	14.8742	6.30261	10.5396	7.79041	7.97792	7.66685
OFUSG00092.2	2.48089	2.3685	15.3315	38.4821	41.3202	59.5375	19.0666	45.2675	14.2551	19.9236	7.84669	9.67685	10.8038
OFUSG00093.1	0.0671442	0.868169	0.423575	0.496617	0.268378	0.638292	0.26609	0.703644	0.141012	0.218026	0.842383	0.420262	1.34523
OFUSG00094.1	0.469635	0.191664	0.837801	0.997732	2.04831	0.720124	0.631709	0.836847	1.13106	0.65921	1.5668	0.802606	1.19281
OFUSG00095.1	5.10163	3.27876	5.65097	3.88781	3.41542	2.72771	0.758896	0.41161	0.818272	0.505443	0.438938	0.483804	0.960072
OFUSG00096.1	6.68868	3.85108	1.36888	1.71042	3.07955	3.56575	2.61147	3.25058	3.66723	4.8624	1.11139	3.62191	0.100391
OFUSG00096.2	0	0	0	0.4253	0	0	0.140158	0	0	0	0.269761	0.422573	0.633224
OFUSG00096.3	3.79925	2.5296	1.37766	3.40867	1.98273	2.77494	1.48049	3.57229	1.91493	4.30924	1.23072	2.88736	0.746768
OFUSG00097.1	0.506089	0.689337	0.0646781	0.201731	0	0.452887	0.0756922	0	0	0.0473433	12.4033	3.11967	15.932
OFUSG00098.1	0.276235	0	0.191652	0	0.0915898	0.471925	0.110649	0.0873495	0	0.137648	0.347892	0.330166	0.105741
OFUSG00099.1	0	0	0	0.649449	0	0	0	0	0	0.463468	0.550432	0.344814	1.31778
OFUSG00100.1	0	0.0641755	0.0601181	0.125274	0.176344	0.120556	0.0705037	0.28018	0.063124	0.26485	0.169941	0.163257	0.351117
OFUSG00101.1	1.66958	1.13846	1.20358	0.57642	0.797187	1.25866	0.562181	0.794548	0.268743	0.679687	2.30873	1.50782	2.77023
OFUSG00102.1	5.13204	0.964178	2.00008	1.72742	0.984482	2.21747	1.53179	1.87705	0.683257	0.886825	1.59334	1.13989	7.51039
OFUSG00103.1	0.367466	0.907652	0	2.35246	0	2.82498	0.441606	1.13295	0	1.03009	0.414626	0.141186	3.16527
OFUSG00104.1	65.1335	57.0822	76.0549	103.615	47.3435	55.8026	18.2567	24.4107	13.677	10.5823	16.6606	29.9344	10.2336
OFUSG00105.1	2.21989	3.65611	3.56298	6.81094	3.40443	6.44817	1.66753	2.19358	0.805901	0.967983	1.43654	1.91088	1.49753
OFUSG00106.1	0.406467	1.17972	0.314708	0.940086	0.325666	0.454363	0.232813	0.249602	0.325756	0.930028	0.629166	0.492128	1.79614
OFUSG00107.1	890.503	594.046	432.01	357.828	350.994	369.032	553.94	415.679	600.772	694.083	337.252	416.457	621.402
OFUSG00108.1	76.9219	79.8088	10.0878	27.8097	13.7655	16.2376	9.93676	22.067	25.4964	35.7548	21.4694	24.2503	33.9731
OFUSG00109.1	0.808463	1.00245	1.65839	3.22809	1.90753	5.22837	0.15575	3.38201	0.288116	2.88137	0.954192	1.94196	1.103
OFUSG00110.1	103.947	114.102	27.298	46.6423	26.7173	29.345	18.3515	24.7946	25.0485	24.3828	11.6134	12.6551	13.706
OFUSG00111.1	4.25748	4.09633	14.067	19.3657	3.71759	6.94224	0.313072	0.329775	0	0.25982	0.877977	0.237827	0.21007
OFUSG00112.1	0.199648	0.0195337	6.16638	2.81732	20.1369	15.0783	21.6717	16.9847	9.39412	5.49515	2.82952	0.898066	6.47344
OFUSG00113.1	0	0.194678	0.542544	1.79742	2.58009	3.10369	5.95954	8.70026	3.49553	3.27122	0.994868	1.85722	2.8414
OFUSG00113.2	0	0	0	0.175174	0.314557	0.365035	0.450163	2.41105	0.368108	0.96525	0.255567	0.307444	0.469355
OFUSG00114.1	0	0.728899	0.496939	2.06909	0.84917	1.61768	0.509469	1.38772	0.326047	7.19721	16.1453	10.6277	187.351
OFUSG00115.1	0.0447066	1.01749	6.10249	5.63855	7.8694	7.99431	9.28202	9.10584	8.24196	10.8848	32.236	11.899	24.3291
OFUSG00116.1	69.9952	86.5182	81.1642	69.188	50.4382	50.7633	32.3456	32.4428	13.4699	18.2253	13.4286	22.418	18.0907
OFUSG00117.1	0.274188	0.387889	10.2264	5.95503	21.7426	20.4145	19.8773	25.5855	15.8906	13.4442	8.94405	11.2788	3.7515
OFUSG00118.1	2.71571	1.59043	2.65838	1.58887	1.70256	1.79615	1.65036	1.6507	2.28305	0.800868	4.40682	2.25048	4.07096
OFUSG00119.1	73.8261	64.1274	97.3138	117.872	126.725	150.28	174.652	221.372	157.426	171.36	78.4499	100.972	164.409
OFUSG00120.1	0.660808	1.96161	0.365705	1.86661	0.616878	0.951531	0.949508	1.49173	1.26529	1.4931	1.8201	1.92087	1.47277
OFUSG00121.1	0.36742	0.0330655	1.13431	0.485859	0.48927	0.624229	0.801867	0.612223	0.936421	0.275262	0.135972	0.13926	0.888949
OFUSG00120.2	0.574084	0.98378	0.233809	0.498029	0.642313	0.705227	0.260409	1.06614	0.830422	1.13156	1.60768	1.17822	0.795048
OFUSG00122.1	0	0	0.183162	0	0.159908	0	0	0.233832	1.01952	0.219679	0	0.111261	0.088627
OFUSG00123.1	0.851265	0.711103	2.13751	1.10338	4.41637	1.23126	2.2871	0.915321	1.2143	1.04815	1.8352	1.44979	1.56092
OFUSG00124.1	0.504764	0.0995269	0.788703	1.0217	1.05303	0.28109	0.657069	0.611062	0.682987	0.790375	0.902414	0.61848	0.744432
OFUSG00125.1	0	0	0	0	2.37087	0.180403	2.2566	1.48869	1.27569	0.716182	0.260201	0.207288	0.128415
OFUSG00122.2	0	0.0866005	0	0.421702	0.916596	0.630456	2.08519	1.26917	1.5496	1.08876	1.55825	0.429508	0.103466
OFUSG00126.1	0	0.0965443	0.0914157	0	1.66426	1.62342	2.32595	3.8423	1.5303	2.23759	0.388854	0.398934	0.162076
OFUSG00127.1	43.5965	65.9856	81.365	127.412	91.4039	109.998	68.8925	103.149	85.9319	115.326	86.6634	102.765	87.9159
OFUSG00127.2	0.00109905	4.85291e-09	0.194126	0	0.386279	0	0.374597	0	0	0	0.0885789	0.0473415	0
OFUSG00128.1	0	0	0	0.133212	0.316451	0	1.23846	0.344786	0.424982	0.595719	0.287863	0.272666	0.0918738
OFUSG00128.2	3.37821	3.22556	21.6732	17.5095	40.7288	30.8536	41.3856	44.6485	61.9604	62.8523	46.8463	84.3433	15.2473
OFUSG00129.1	79.2329	81.5513	135.362	132.318	116.882	147.789	59.5639	84.8961	24.6185	38.0901	8.40397	27.9679	14.3432
OFUSG00130.1	1.21935	2.97567	3.56758	3.06088	4.10462	4.51213	13.1969	12.7344	24.7818	31.9954	82.8288	63.6353	175.195
OFUSG00131.1	1.69906	0.125088	11.8175	8.36671	9.00787	17.9314	2.18701	6.86919	0.873146	2.11581	0.82408	1.26715	0.992174
OFUSG00132.1	15.74	19.4156	23.9942	15.8324	18.9716	17.4994	11.6659	11.2607	7.30742	6.76513	5.44049	6.76568	4.19775
OFUSG00133.1	0.118118	0.0852437	0.594635	0.500462	0.196502	0.843585	0.281604	0.299735	0.125144	0.088471	0.399063	0.223095	0.250796
OFUSG00134.1	85.2584	88.0967	136.162	304.018	142.738	200.64	52.3206	142.53	91.8547	102.192	139.916	165.774	101.26
OFUSG00135.1	28.47	38.0504	1.5368	6.52044	2.98545	3.90269	2.69135	6.14592	6.44655	6.57442	7.5476	9.4637	4.67718
OFUSG00136.1	1.28978	4.5651	3.04907	5.78041	7.67915	11.084	9.53496	17.0059	41.9159	30.8543	54.8857	31.9691	55.9795
OFUSG00136.2	0.00118906	0	0	0	0	0.62875	0	0	0.668862	1.0203	4.54114	5.82118	3.9241
OFUSG00137.1	5.87056	17.4564	22.665	16.4401	31.9006	40.8338	60.6704	52.9117	148.268	84.322	146.15	81.5534	123.987
OFUSG00138.1	7.9577	7.08481	29.6104	25.5582	31.45	40.9691	29.951	57.2276	40.9467	18.8092	39.6208	21.7058	26.815
OFUSG00139.1	12.559	16.8286	2.51052	4.94129	2.18023	2.97955	3.14941	4.84964	6.53232	3.6519	4.96279	6.77958	3.49445
OFUSG00140.1	10.8004	0.156204	44.333	2.51199	21.7253	3.36737	13.0252	4.75461	3.08281	3.21057	1.37309	1.24362	1.25273
OFUSG00141.1	17.7024	18.2844	11.0203	11.1441	12.1421	13.999	17.7356	17.1046	26.1247	28.5185	14.3117	12.2991	7.49661
OFUSG00142.1	22.2231	24.4222	24.0679	20.8545	18.4021	13.9065	13.2236	10.828	6.64211	5.17611	3.15216	4.05154	3.31897
OFUSG00143.1	0.667303	2.01023	0.2779	0.52923	0.166644	0.538364	0.39701	0.31775	0.0585589	0.229151	0.485578	0.304322	1.74889
OFUSG00144.1	0.419695	0.81524	1.95778	5.56251	13.4993	12.8028	12.8514	15.9875	9.42937	11.2572	0.61302	1.44291	0.278905
OFUSG00145.1	22.5197	15.7495	160.418	76.7517	215.055	181.603	136.937	134.351	83.0489	88.4863	54.7268	52.5217	34.0928
OFUSG00146.1	1.10372	2.10045	1.37837	2.98266	2.35555	3.26135	1.17934	3.25983	1.41034	5.9866	8.03236	7.24961	3.45926
OFUSG00147.1	0.513333	0.84168	0.845058	0.212592	0.267708	1.20603	0.532594	0.829259	0.0236128	0.0501732	0.162798	0.115591	0.0957141
OFUSG00148.1	38.2236	26.6485	179.457	108.715	292.579	254.729	216.739	167.642	116.396	126.015	73.1321	59.8532	34.7161
OFUSG00149.1	2.64496	3.66988	22.4857	17.0539	58.2841	29.6169	22.848	28.362	20.9611	28.5558	16.3375	17.2964	9.75158
OFUSG00150.1	6.43499	5.00925	34.0409	45.6093	71.7907	60.4763	21.3599	51.4696	23.4591	26.2378	31.5757	29.4742	21.0456
OFUSG00151.1	2.01379	2.29873	6.39279	11.1763	11.5468	11.5597	4.69585	9.40501	5.26407	7.63696	6.28399	8.24562	3.59226
OFUSG00152.1	0	0.0934383	0.261073	0.228462	0.258142	1.32011	0.257115	0.205081	0.366145	0.161444	2.0554	0.495387	3.52251
OFUSG00153.1	0.520478	0	0.475475	0	0.155729	0.0531702	0	0	0.0555148	0	0.457193	0.379278	4.39126
OFUSG00154.1	51.3028	78.9288	21.7643	24.0825	17.4866	28.4413	15.2084	21.0438	11.8062	19.8746	10.3483	23.0409	11.2294
OFUSG00155.1	1.21544	1.04581	0.5889	1.36009	0.764939	1.30857	0.306198	0.85082	0.617872	0.909499	0.401811	0.364536	0.350104
OFUSG00156.1	0	0.452987	0.212977	2.13412	0.0689041	1.13256	0	0.59128	0.372202	0.207029	43.6016	25.1268	35.7466
OFUSG00157.1	18.7756	15.3908	10.653	9.69781	12.6035	11.949	20.8293	21.5577	41.8965	42.5382	33.8295	36.0811	17.0214
OFUSG00158.1	5.36123	6.33035	29.3671	10.1609	20.9784	10.9254	12.0354	7.4341	5.9108	7.07052	9.79739	7.34454	5.98262
OFUSG00158.2	6.26696	10.9614	17.6081	16.2335	39.4658	28.502	60.2531	52.3307	58.1516	61.3083	23.8307	37.9913	25.8709
OFUSG00159.1	57.3284	65.0197	16.2378	29.6137	7.41849	8.74068	3.91264	4.17573	2.9717	3.32617	14.0423	8.43552	12.0521
OFUSG00160.1	144.594	139.674	104.024	110.55	74.3767	81.9121	47.1618	57.3203	34.859	30.837	24.2697	57.8391	40.4847
OFUSG00161.1	4.77861	2.97015	5.9521	2.12725	4.76661	2.94866	5.46784	2.8874	4.45443	2.49729	5.64814	2.8778	7.14791
OFUSG00162.1	0.199606	0.0561878	0.153015	0.35554	0.199104	0.254833	0	0	0.21266	0.0747321	0.00535151	0.048302	0.193182
